1	alloc	99744	948832		948832		0
2	alloc	111776	837056		837056		99744
3	alloc	64864	772192		772192		211520
4	alloc	91552	680640		680640		276384
5	free	2	792416		680640		-1
6	free	4	883968		772192		-1
7	alloc	5600	878368		772192		99744
8	alloc	110304	768064		661888		276384
9	alloc	78688	689376		661888		105344
10	alloc	8032	681344		661888		184032
11	alloc	27872	653472		634016		386688
12	alloc	72992	580480		561024		414560
13	alloc	4960	575520		561024		192064
14	alloc	58400	517120		502624		487552
15	alloc	84640	432480		417984		545952
16	free	9	511168		417984		-1
17	alloc	25760	485408		417984		105344
18	free	7	491008		417984		-1
19	free	3	555872		417984		-1
20	alloc	6496	549376		417984		131104
21	alloc	118240	431136		299744		630592
22	free	11	459008		299744		-1
23	alloc	44448	414560		299744		137600
24	free	10	422592		299744		-1
25	alloc	113440	309152		186304		748832
26	free	1	408896		186304		-1
27	free	21	527136		186304		-1
28	free	20	533632		186304		-1
29	free	15	618272		202880		-1
30	alloc	115040	503232		186304		545952
31	free	17	528992		186304		-1
32	alloc	55072	473920		186304		0
33	free	13	478880		186304		-1
34	free	23	523328		186304		-1
35	free	32	578400		276384		-1
36	alloc	57312	521088		219072		0
37	alloc	101408	419680		186304		57312
38	free	8	529984		227968		-1
39	free	12	602976		255840		-1
40	free	14	661376		328832		-1
41	alloc	71328	590048		257504		158720
42	alloc	26144	563904		231360		230048
43	alloc	55968	507936		186304		256192
44	alloc	17824	490112		186304		312160
45	free	42	516256		215968		-1
46	free	36	573568		215968		-1
47	alloc	49120	524448		215968		0
48	free	41	595776		215968		-1
49	alloc	87200	508576		215968		158720
50	alloc	16928	491648		199040		329984
51	alloc	10848	480800		188192		346912
52	free	50	497728		188192		-1
53	free	49	584928		188192		-1
54	alloc	110112	474816		186304		357760
55	free	25	588256		201280		-1
56	alloc	36640	551616		201280		158720
57	free	54	661728		387584		-1
58	alloc	90592	571136		387584		357760
59	alloc	32	571104		387584		49120
60	free	30	686144		387584		-1
61	alloc	57312	628832		387584		195360
62	alloc	113952	514880		387584		448352
63	free	37	616288		486272		-1
64	alloc	88160	528128		486272		49152
65	free	43	584096		486272		-1
66	free	51	594944		486272		-1
67	alloc	35424	559520		486272		252672
68	alloc	7584	551936		486272		137312
69	free	47	601056		486272		-1
70	free	68	608640		486272		-1
71	alloc	60960	547680		425312		562304
72	alloc	36704	510976		425312		0
73	free	58	601568		425312		-1
74	free	44	619392		425312		-1
75	alloc	44512	574880		425312		329984
76	alloc	34656	540224		425312		288096
77	free	59	540256		425312		-1
78	alloc	85024	455232		340288		623264
79	free	56	491872		340288		-1
80	alloc	42080	449792		340288		137312
81	alloc	39520	410272		340288		374496
82	alloc	79840	330432		260448		708288
83	free	80	372512		260448		-1
84	free	61	429824		260448		-1
85	alloc	79840	349984		260448		137312
86	alloc	110816	239168		149632		788128
87	alloc	61664	177504		87968		898944
88	alloc	51808	125696		36160		960608
89	alloc	53152	125696		36160		-1
90	free	67	161120		70944		-1
91	free	62	275072		148288		-1
92	free	78	360096		148288		-1
93	free	64	448256		148288		-1
94	free	75	492768		148288		-1
95	free	72	529472		148288		-1
96	free	76	564128		148288		-1
97	free	81	603648		187808		-1
98	alloc	40736	562912		187808		0
99	alloc	108192	454720		187808		217152
100	free	71	515680		236960		-1
101	free	85	595520		382944		-1
102	alloc	43552	551968		382944		40736
103	alloc	95840	456128		382944		84288
104	free	98	496864		382944		-1
105	free	89	496864		382944		-1
